        CG/HBCS        CG/ScaleStar
1        46.87        9.06
2        44.38        2.10
3        39.21        14.74
4        13.83        22.84
5        -0.12        27.58
6        0.70        31.17
7        1.37        34.12
8        3.32        36.03
9        4.16        37.45
10        4.63        38.80
11        5.13        39.89
12        6.10        41.02
13        6.64        41.85
14        7.10        42.46
15        6.95        42.94
16        7.08        43.35
17        7.48        43.73
18        7.90        44.06
19        8.09        44.37
20        0.00        44.53
