        CG/HBCS        CG/ScaleStar
1        47.79        10.77
2        48.80        2.28
3        32.92        13.80
4        16.70        21.00
5        -0.89        26.18
6        0.16        29.81
7        1.83        32.67
8        3.98        34.80
9        4.30        36.19
10        4.81        37.42
11        5.90        38.78
12        6.57        39.90
13        6.76        40.75
14        6.44        41.27
15        6.76        41.77
16        7.27        42.19
17        7.10        42.59
18        7.23        42.93
19        7.22        43.24
20        0.00        43.46
