        CG/HBCS        CG/ScaleStar
1        49.83        13.56
2        47.69        1.44
3        34.65        13.38
4        10.76        20.60
5        0.17        26.34
6        1.00        29.94
7        1.88        32.50
8        2.84        34.56
9        3.80        36.12
10        4.74        37.47
11        5.40        38.72
12        6.69        39.70
13        6.52        40.34
14        7.17        41.15
15        7.18        41.63
16        7.29        42.05
17        7.45        42.43
18        7.81        42.78
19        7.93        43.09
20        0.00        43.31
