        CG/HBCS        CG/ScaleStar
1        43.21        7.06
2        41.54        -0.58
3        31.55        15.37
4        21.34        22.73
5        -0.20        27.29
6        0.49        30.91
7        1.78        33.75
8        3.37        35.95
9        4.66        37.22
10        5.95        38.46
11        6.83        39.43
12        7.22        40.47
13        7.61        41.29
14        8.68        42.16
15        8.19        42.72
16        7.60        43.13
17        7.37        43.50
18        7.46        43.84
19        7.61        44.14
20        0.00        44.34
