        CG/HBCS        CG/ScaleStar
1        50.97        14.50
2        48.46        2.67
3        36.56        17.39
4        14.40        25.39
5        -0.26        29.97
6        0.08        33.11
7        0.50        36.20
8        2.66        38.34
9        3.26        39.63
10        3.34        40.73
11        4.79        41.82
12        5.38        42.84
13        6.36        43.63
14        6.66        44.21
15        7.29        44.91
16        7.67        45.33
17        7.94        45.69
18        7.76        46.01
19        7.41        46.31
20        0.00        46.40
