        CG/HBCS        CG/ScaleStar
1        43.56        5.83
2        39.87        0.55
3        34.28        12.93
4        9.20        19.97
5        -1.52        25.64
6        -0.59        29.15
7        1.54        31.93
8        2.42        33.84
9        3.22        35.78
10        4.53        37.18
11        5.23        38.17
12        6.03        39.13
13        6.44        39.83
14        6.48        40.47
15        7.06        41.30
16        7.37        41.87
17        7.40        42.34
18        7.30        42.79
19        7.75        43.13
20        0.00        43.56
