        CG/HBCS        CG/ScaleStar
1        43.92        8.23
2        49.17        1.09
3        41.25        12.62
4        26.03        21.53
5        0.90        27.30
6        0.08        30.54
7        0.99        33.47
8        2.78        35.63
9        3.66        37.00
10        4.56        38.07
11        4.86        39.36
12        5.60        40.21
13        6.75        41.34
14        6.75        41.96
15        5.83        42.21
16        6.86        42.91
17        7.14        43.33
18        7.02        43.66
19        7.16        43.97
20        0.00        44.06
