        CG/HBCS        CG/ScaleStar
1        30.43        7.47
2        30.81        -1.86
3        36.16        6.16
4        26.06        0.51
5        21.97        4.22
6        8.97        10.50
7        1.10        15.18
8        1.48        20.20
9        3.27        22.50
10        5.14        27.00
11        5.44        28.06
12        8.24        30.18
13        8.08        31.70
14        10.31        33.32
15        11.87        34.48
16        12.43        35.06
17        15.26        37.00
18        14.59        37.94
19        13.83        38.64
20        0.00        38.62
