        CG/HBCS        CG/ScaleStar
1        34.02        14.77
2        35.17        6.78
3        38.29        11.89
4        32.31        -0.81
5        28.32        2.39
6        10.02        7.18
7        2.70        12.94
8        4.41        17.03
9        5.53        19.79
10        6.16        22.88
11        6.63        24.86
12        5.13        26.29
13        7.54        28.38
14        7.60        30.17
15        7.69        31.53
16        9.54        33.47
17        8.81        33.43
18        9.40        34.30
19        10.69        35.24
20        0.00        35.22
