        CG/HBCS        CG/ScaleStar
1        28.00        6.75
2        27.20        -0.92
3        30.50        8.52
4        23.84        0.35
5        22.78        0.51
6        4.80        1.48
7        -2.21        6.48
8        3.87        13.87
9        3.75        15.92
10        7.31        19.14
11        8.58        21.55
12        8.56        22.87
13        10.60        26.51
14        10.34        27.40
15        10.78        28.62
16        12.90        30.41
17        13.47        31.14
18        14.39        32.51
19        15.18        33.49
20        0.00        33.47
