        CG/HBCS        CG/ScaleStar
1        31.84        6.40
2        29.05        3.66
3        33.77        9.00
4        28.53        0.04
5        20.58        4.38
6        13.28        6.81
7        0.25        12.09
8        1.67        17.39
9        4.17        20.59
10        5.90        24.50
11        7.48        26.01
12        7.52        27.84
13        9.18        29.73
14        10.34        31.35
15        12.42        32.95
16        13.90        34.49
17        12.68        34.51
18        11.75        35.19
19        12.57        36.31
20        0.00        36.29
