        CG/HBCS        CG/ScaleStar
1        30.90        11.00
2        29.95        3.97
3        38.41        8.01
4        29.20        0.63
5        26.32        7.18
6        5.90        9.32
7        2.75        14.52
8        4.97        18.68
9        4.65        21.17
10        8.23        24.84
11        9.24        26.44
12        10.52        28.15
13        12.21        31.07
14        12.14        31.96
15        11.61        32.68
16        12.32        34.22
17        13.69        35.38
18        14.35        36.30
19        14.38        37.26
20        0.00        37.24
