        CG/HBCS        CG/ScaleStar
1        29.68        12.12
2        26.27        5.89
3        32.87        12.63
4        29.83        3.64
5        20.25        3.16
6        16.67        6.09
7        -0.42        10.72
8        3.81        18.16
9        4.09        20.38
10        8.24        25.38
11        5.42        25.98
12        5.87        27.19
13        8.32        29.58
14        9.68        30.74
15        9.87        31.73
16        12.52        33.76
17        11.33        33.96
18        12.74        35.01
19        14.24        36.13
20        0.00        36.11
