        CG/HBCS        CG/ScaleStar
1        30.26        12.73
2        34.82        10.23
3        37.35        9.17
4        30.38        0.76
5        17.41        1.02
6        -0.34        2.87
7        3.27        9.78
8        3.44        12.79
9        6.15        16.30
10        4.94        18.69
11        3.65        20.35
12        6.12        22.93
13        7.54        24.73
14        9.95        26.76
15        11.05        28.30
16        12.51        30.52
17        11.69        30.46
18        12.37        31.63
19        13.51        32.58
20        0.00        32.56
