        CG/HBCS        CG/ScaleStar
1        38.46        6.87
2        46.19        12.74
3        40.56        2.07
4        33.28        6.72
5        13.16        17.29
6        0.37        20.90
7        1.55        24.45
8        4.30        27.60
9        5.42        29.72
10        4.77        32.10
11        5.12        33.80
12        8.02        36.28
13        8.75        37.49
14        10.28        38.68
15        9.53        38.85
16        8.85        39.27
17        10.02        40.07
18        9.47        40.44
19        10.43        41.07
20        0.00        41.06
