        CG/HBCS        CG/ScaleStar
1        31.44        3.75
2        47.53        18.19
3        38.26        0.43
4        24.01        10.12
5        2.33        13.46
6        -0.70        21.13
7        0.76        26.14
8        0.97        28.12
9        4.29        31.05
10        4.22        32.67
11        5.86        34.82
12        7.67        37.02
13        7.09        37.81
14        8.45        38.98
15        7.74        39.58
16        7.24        40.11
17        8.75        41.36
18        9.18        41.75
19        10.15        42.66
20        0.00        42.68
