        CG/HBCS        CG/ScaleStar
1        37.69        4.63
2        44.54        14.73
3        37.65        1.91
4        21.24        10.15
5        2.60        16.43
6        2.58        21.08
7        1.96        26.50
8        2.70        28.79
9        3.41        31.49
10        3.77        33.45
11        5.69        35.31
12        7.19        36.98
13        7.55        38.20
14        8.30        39.10
15        9.20        39.80
16        8.76        40.70
17        9.75        41.43
18        10.64        42.07
19        10.30        42.40
20        0.00        42.55
