        CG/HBCS        CG/ScaleStar
1        37.35        4.06
2        49.83        17.95
3        40.23        3.08
4        23.92        6.15
5        12.44        12.63
6        -0.68        19.07
7        -1.90        23.47
8        -0.45        25.97
9        2.24        28.75
10        3.40        30.60
11        5.43        32.50
12        6.16        34.76
13        7.40        35.71
14        8.19        37.01
15        7.99        37.74
16        7.17        37.95
17        8.18        39.06
18        8.00        39.38
19        8.52        40.10
20        0.00        40.09
