Id        CG/HBCS        CG/ScaleStar
0        11.67        35.22
1        10.22        37.38
2        11.21        35.64
3        10.92        34.69
4        10.92        35.49
5        11.77        34.62
6        11.09        33.74
7        11.03        36.26
8        11.38        35.93
9        11.35        36.02
