Id        CG/HBCS        CG/ScaleStar
0        11.93        22.14
1        13.26        23.22
2        12.73        18.00
3        13.50        21.39
4        13.27        22.84
5        12.43        21.30
6        13.06        21.92
7        12.80        18.76
8        13.34        21.48
9        14.59        22.50
