Id        CG/HBCS        CG/ScaleStar
0        11.05        31.07
1        12.18        31.52
2        10.68        30.79
3        11.71        30.93
4        11.38        32.50
5        11.72        31.76
6        11.22        33.79
7        11.46        31.59
8        11.29        35.17
9        10.46        31.22
