        CG/HBCS        CG/ScaleStar
1        28.24        0.03
2        34.17        2.94
3        36.51        0.06
4        30.24        3.27
5        9.62        8.17
6        0.92        15.16
7        1.39        19.69
8        2.40        23.68
9        3.98        26.04
10        4.18        27.55
11        6.69        30.64
12        7.93        32.52
13        7.76        33.70
14        7.65        34.93
15        8.68        36.01
16        9.60        36.71
17        10.29        37.55
18        10.62        38.14
19        11.46        39.05
20        0.00        39.04
