        CG/HBCS        CG/ScaleStar
1        32.08        0.04
2        41.55        9.18
3        43.62        -0.41
4        24.62        -4.47
5        15.54        6.63
6        0.17        11.87
7        0.17        16.76
8        0.71        20.56
9        2.45        22.95
10        5.06        25.90
11        5.44        27.56
12        5.68        29.57
13        7.46        31.23
14        8.41        32.61
15        8.01        33.40
16        10.36        35.12
17        10.02        35.33
18        11.06        36.40
19        10.69        37.15
20        0.00        37.14
