        CG/HBCS        CG/ScaleStar
1        30.99        0.30
2        36.18        3.78
3        39.75        0.39
4        34.05        0.05
5        3.42        5.10
6        -0.07        11.98
7        0.28        16.21
8        3.94        21.27
9        3.53        24.19
10        4.75        26.39
11        4.21        28.48
12        5.07        30.15
13        5.76        31.94
14        6.84        33.05
15        8.33        34.53
16        8.38        35.19
17        9.18        36.05
18        10.51        36.99
19        10.43        37.81
20        0.00        37.80
