        CG/HBCS        CG/ScaleStar
1        33.80        -0.62
2        41.07        8.05
3        42.67        0.32
4        36.71        1.08
5        14.97        8.22
6        5.92        14.34
7        -0.64        18.33
8        4.55        23.66
9        4.03        25.68
10        6.72        28.68
11        6.95        29.79
12        7.10        31.33
13        6.56        32.81
14        8.63        35.17
15        8.33        35.82
16        8.77        36.55
17        9.90        37.35
18        9.67        37.74
19        10.42        38.58
20        0.00        38.57
