        CG/HBCS        CG/ScaleStar
1        28.64        -1.15
2        35.40        5.91
3        33.63        -0.75
4        21.89        -0.59
5        1.72        2.91
6        -0.90        10.61
7        -0.78        15.18
8        3.77        20.29
9        3.04        21.84
10        5.23        25.37
11        6.58        27.40
12        7.47        29.34
13        8.50        31.00
14        8.39        31.52
15        9.84        33.37
16        8.86        33.49
17        10.59        35.35
18        9.87        35.50
19        11.31        36.74
20        0.00        37.27
