        CG/HBCS        CG/ScaleStar
1        30.74        -0.97
2        32.16        0.96
3        25.11        -0.35
4        19.87        1.21
5        2.95        7.26
6        -1.25        12.80
7        1.39        18.34
8        3.17        22.31
9        3.42        23.82
10        6.51        27.61
11        6.74        29.40
12        8.14        30.59
13        9.96        32.60
14        10.75        33.94
15        10.95        35.32
16        10.64        36.26
17        12.27        37.54
18        12.02        37.37
19        12.53        38.18
20        0.00        38.17
