        CG/HBCS        CG/ScaleStar
1        41.76        10.95
2        46.39        1.65
3        37.82        4.96
4        24.11        14.37
5        1.39        20.69
6        -0.57        25.53
7        1.64        28.58
8        2.34        30.60
9        2.69        32.64
10        5.12        34.40
11        5.51        35.75
12        7.12        36.97
13        6.66        37.41
14        7.98        38.60
15        8.17        39.29
16        8.24        39.80
17        8.50        40.56
18        8.57        41.06
19        8.58        41.38
20        0.00        41.54
