        CG/HBCS        CG/ScaleStar
1        44.34        6.79
2        44.47        2.05
3        38.36        4.06
4        22.30        14.56
5        11.91        19.64
6        -1.23        24.21
7        1.34        28.06
8        3.04        29.74
9        5.38        33.06
10        4.29        34.10
11        4.65        35.06
12        6.48        36.75
13        7.56        37.62
14        8.21        38.23
15        8.61        39.06
16        8.33        39.37
17        9.37        40.44
18        9.73        40.93
19        8.38        41.18
20        0.00        41.27
