        CG/HBCS        CG/ScaleStar
1        46.12        12.49
2        50.21        2.82
3        40.60        7.88
4        26.10        16.13
5        1.69        22.25
6        -1.26        25.97
7        1.33        29.50
8        3.36        32.08
9        4.95        34.47
10        4.72        35.87
11        4.63        36.59
12        6.38        37.93
13        5.46        38.59
14        6.13        39.16
15        6.33        39.67
16        6.60        40.56
17        6.45        41.01
18        7.21        41.64
19        7.25        41.95
20        0.00        42.10
