        CG/HBCS        CG/ScaleStar
1        43.90        8.62
2        46.36        2.54
3        36.80        8.39
4        24.92        17.45
5        1.02        24.20
6        -0.30        27.33
7        1.68        30.94
8        3.20        33.24
9        4.94        35.48
10        5.22        36.96
11        5.40        37.54
12        6.26        38.59
13        6.54        39.49
14        6.99        40.40
15        7.28        40.95
16        7.91        41.76
17        8.16        42.15
18        9.00        42.79
19        9.17        43.09
20        0.00        43.26
