        CG/HBCS        CG/ScaleStar
1        42.39        6.83
2        47.24        3.41
3        38.34        8.49
4        24.65        16.99
5        2.81        23.32
6        -1.21        27.28
7        1.50        30.63
8        3.36        32.98
9        5.11        34.86
10        5.18        36.30
11        5.56        37.48
12        6.14        38.87
13        6.63        39.66
14        7.02        40.55
15        7.13        40.93
16        7.99        41.60
17        8.33        42.04
18        8.76        42.51
19        8.51        42.79
20        8.17        42.94
