        CG/HBCS        CG/ScaleStar
1        43.56        6.71
2        45.76        0.09
3        39.54        9.66
4        21.24        18.69
5        3.66        25.23
6        -0.44        28.84
7        1.85        32.21
8        3.33        34.72
9        3.93        35.90
10        5.56        37.84
11        5.40        38.66
12        5.81        39.75
13        5.94        40.69
14        6.25        41.44
15        6.32        41.94
16        7.14        42.75
17        7.06        43.13
18        7.84        43.63
19        7.81        43.94
20        0.00        44.11
