        CG/HBCS        CG/ScaleStar
1        42.90        9.42
2        46.71        2.42
3        40.53        8.12
4        23.20        17.61
5        -0.83        23.00
6        0.88        27.43
7        1.25        30.25
8        3.14        33.14
9        4.45        35.15
10        4.17        36.78
11        4.86        37.85
12        4.91        38.44
13        5.91        39.34
14        6.79        40.24
15        6.88        40.73
16        8.08        41.62
17        8.57        42.26
18        8.62        42.40
19        8.18        42.72
20        0.00        42.96
