        CG/HBCS        CG/ScaleStar
1        42.92        6.59
2        44.33        0.72
3        32.70        12.05
4        21.38        20.54
5        -0.92        26.93
6        -0.62        30.40
7        1.84        33.57
8        2.64        35.73
9        3.71        37.66
10        5.47        39.32
11        6.30        40.29
12        6.51        41.50
13        7.21        42.04
14        7.88        42.65
15        8.41        43.12
16        8.52        43.64
17        8.59        44.07
18        9.03        44.73
19        8.51        45.03
20        0.00        45.18
