        CG/HBCS        CG/ScaleStar
1        41.19        8.46
2        42.56        2.15
3        34.20        13.67
4        14.79        22.63
5        3.36        28.87
6        0.17        32.03
7        2.59        34.97
8        4.31        36.97
9        5.75        39.09
10        7.33        40.80
11        7.23        41.64
12        7.26        42.49
13        7.26        43.07
14        7.14        43.67
15        7.46        44.13
16        7.50        44.86
17        8.53        45.66
18        8.64        45.84
19        8.55        46.12
20        0.00        46.34
