        CG/HBCS        CG/ScaleStar
1        31.44        -10.51
2        30.37        -3.37
3        28.04        5.40
4        12.48        16.49
5        0.39        20.87
6        -10.94        18.54
7        -10.33        21.15
8        3.36        31.96
9        3.67        32.50
10        -9.73        23.90
11        4.96        35.30
12        7.28        37.61
13        7.82        38.65
14        6.76        39.34
15        4.59        38.50
16        -6.08        31.94
17        5.85        39.74
18        8.55        41.63
19        8.48        42.00
20        0.00        42.47
