        CG/HBCS        CG/ScaleStar
1        42.59        5.09
2        39.10        1.74
3        33.97        8.63
4        14.44        16.95
5        9.83        22.69
6        0.04        27.18
7        2.35        30.56
8        2.81        32.80
9        4.43        34.47
10        5.09        35.90
11        6.40        37.19
12        6.40        38.02
13        7.24        39.03
14        7.47        39.95
15        6.54        40.47
16        7.08        41.20
17        7.48        41.53
18        8.79        42.41
19        9.00        42.70
20        0.00        42.84
