        CG/HBCS        CG/ScaleStar
1        42.37        8.19
2        48.96        -0.08
3        37.29        6.18
4        20.83        15.11
5        5.12        21.31
6        0.26        25.97
7        0.28        29.17
8        2.98        31.84
9        4.32        33.67
10        5.05        35.61
11        6.41        37.22
12        7.09        38.40
13        7.57        39.22
14        7.72        40.05
15        7.56        41.15
16        8.36        41.68
17        8.24        42.09
18        8.89        42.79
19        8.71        43.02
20        0.00        43.21
