        CG/HBCS        CG/ScaleStar
1        40.05        5.91
2        45.48        0.87
3        33.42        4.22
4        18.33        14.50
5        1.71        21.97
6        -0.79        25.15
7        2.14        29.34
8        3.53        31.58
9        4.75        33.27
10        5.68        35.23
11        6.13        36.83
12        7.26        37.93
13        7.48        38.38
14        8.67        40.04
15        8.78        40.60
16        8.58        40.87
17        9.00        41.28
18        10.04        42.04
19        9.79        42.26
20        0.00        42.42
