        CG/HBCS        CG/ScaleStar
1        38.18        5.54
2        41.06        -0.54
3        33.19        5.08
4        19.83        13.52
5        1.74        20.19
6        -0.87        24.23
7        0.84        28.11
8        3.09        30.94
9        4.72        33.40
10        4.98        34.44
11        5.45        35.94
12        7.17        37.46
13        6.88        38.10
14        8.09        38.96
15        8.69        39.85
16        9.87        40.78
17        9.91        41.21
18        10.35        41.78
19        10.46        42.16
20        0.00        42.30
