        CG/HBCS        CG/ScaleStar
1        24.23        14.57
2        27.10        0.18
3        25.49        2.31
4        28.79        14.16
5        8.12        3.77
6        4.63        4.03
7        22.45        6.70
8        3.61        7.19
9        3.57        10.14
10        6.36        15.79
11        7.75        18.68
12        6.37        18.74
13        9.99        21.88
14        11.25        24.75
15        10.11        25.48
16        12.49        28.09
17        11.27        28.10
18        11.58        29.97
19        13.41        31.42
20        0.00        31.37
