        CG/HBCS        CG/ScaleStar
1        26.93        13.44
2        32.56        2.59
3        28.43        5.17
4        28.72        16.40
5        16.68        0.46
6        7.04        0.96
7        7.65        6.27
8        0.38        7.14
9        -0.51        9.55
10        4.47        15.38
11        5.45        18.81
12        3.59        19.62
13        6.80        22.30
14        7.26        24.81
15        7.82        25.27
16        8.39        27.41
17        8.59        28.22
18        11.00        30.11
19        13.29        31.91
20        0.00        32.16
