        CG/HBCS        CG/ScaleStar
1        36.17        21.35
2        33.49        7.32
3        30.77        10.07
4        34.89        15.05
5        31.88        0.19
6        24.80        1.36
7        14.27        5.55
8        9.82        4.86
9        4.41        10.53
10        2.77        15.55
11        2.22        16.92
12        4.33        19.69
13        5.24        21.80
14        6.93        23.19
15        11.55        27.78
16        11.48        27.72
17        11.22        28.02
18        11.20        29.81
19        10.49        30.65
20        0.00        30.60
