        CG/HBCS        CG/ScaleStar
1        31.90        9.29
2        25.33        3.85
3        10.76        -2.50
4        30.21        10.20
5        23.93        1.93
6        10.78        -3.21
7        17.89        8.38
8        3.57        9.92
9        3.82        14.71
10        4.93        18.04
11        8.65        21.98
12        9.90        23.05
13        11.40        25.20
14        8.74        26.87
15        12.08        29.54
16        12.88        29.66
17        12.77        31.12
18        13.82        32.63
19        13.95        32.73
20        0.00        33.75
