        CG/HBCS        CG/ScaleStar
1        34.87        23.43
2        24.61        0.79
3        33.30        0.48
4        42.38        16.58
5        23.89        1.56
6        24.24        1.99
7        7.19        4.32
8        0.35        5.18
9        2.69        10.93
10        3.77        16.49
11        4.56        18.69
12        3.01        18.90
13        8.42        23.43
14        10.86        25.47
15        13.96        28.06
16        11.44        27.28
17        12.51        28.16
18        12.73        30.48
19        11.95        30.48
20        0.00        30.44
