        CG/HBCS        CG/ScaleStar
1        40.83        4.94
2        46.23        10.17
3        38.17        -1.46
4        21.20        9.40
5        2.23        19.07
6        -1.49        21.98
7        1.66        26.33
8        2.91        29.56
9        2.05        31.49
10        3.91        33.93
11        4.03        35.14
12        4.96        36.60
13        6.85        37.99
14        6.53        38.37
15        8.20        39.56
16        9.65        40.85
17        10.15        41.19
18        10.93        41.78
19        11.89        42.45
20        0.00        42.61
