        CG/HBCS        CG/ScaleStar
1        36.18        5.00
2        43.86        6.77
3        33.53        0.79
4        20.80        2.77
5        9.57        11.37
6        3.00        17.83
7        1.09        20.12
8        2.59        24.00
9        4.64        26.65
10        6.33        28.64
11        7.53        30.50
12        7.90        31.65
13        9.63        33.16
14        9.26        34.04
15        8.02        34.41
16        9.13        35.85
17        9.88        36.40
18        10.86        37.12
19        10.52        37.47
20        0.00        37.65
