        CG/HBCS        CG/ScaleStar
1        38.04        4.02
2        45.51        8.54
3        29.08        0.04
4        13.57        9.86
5        10.31        16.03
6        -2.09        21.61
7        -0.38        25.81
8        2.96        29.08
9        4.46        31.02
10        5.81        33.10
11        6.51        34.45
12        7.35        36.17
13        8.80        37.45
14        9.68        38.41
15        9.27        39.46
16        9.72        40.17
17        10.05        40.67
18        10.40        40.96
19        10.43        41.65
20        0.00        41.75
