        CG/HBCS        CG/ScaleStar
1        28.80        6.11
2        30.90        2.45
3        31.33        7.63
4        25.52        0.16
5        21.14        -0.64
6        9.24        2.99
7        0.82        9.35
8        1.92        12.98
9        5.03        17.49
10        5.26        18.62
11        8.99        22.97
12        8.52        23.94
13        9.39        25.26
14        10.70        26.90
15        12.06        28.11
16        12.81        29.20
17        13.32        29.77
18        13.59        30.80
19        14.73        31.82
20        0.00        31.80
