        CG/HBCS        CG/ScaleStar
1        26.07        1.64
2        24.44        -3.55
3        34.97        2.20
4        25.05        -1.44
5        15.48        2.16
6        3.91        9.53
7        3.49        14.79
8        3.46        16.70
9        4.43        20.46
10        6.63        23.81
11        6.91        25.93
12        7.39        27.92
13        9.20        29.49
14        11.00        31.39
15        10.16        31.67
16        11.72        33.25
17        11.92        33.53
18        13.29        35.11
19        13.53        35.93
20        0.00        35.91
