        CG/HBCS        CG/ScaleStar
1        4.06        0.36
2        19.88        19.88
3        8.33        8.33
4        42.71        0.60
5        42.53        17.06
6        40.89        16.87
7        34.41        3.47
8        3.47        3.47
9        24.02        0.48
10        0.88        0.88
11        4.16        4.16
12        10.77        10.77
13        -29.33        -16.08
14        0.61        10.83
15        -4.97        11.19
16        11.19        20.28
17        10.92        20.07
18        11.79        25.37
19        11.36        25.07
20        0.00        29.30
