        CG/HBCS        CG/ScaleStar
1        15.36        0.17
2        14.35        -1.78
3        19.52        0.24
4        25.60        0.24
5        20.46        0.27
6        -1.48        -1.48
7        23.18        -1.30
8        -1.30        -1.30
9        3.72        -1.56
10        0.40        0.40
11        6.39        0.21
12        0.43        0.43
13        3.50        3.50
14        6.96        6.96
15        0.48        -0.69
16        0.24        -0.93
17        3.86        2.73
18        3.86        2.73
19        12.15        -0.31
20        0.00        4.22
