        CG/HBCS        CG/ScaleStar
1        7.00        0.27
2        2.64        0.66
3        38.34        0.45
4        4.35        1.11
5        1.64        1.64
6        1.45        2.57
7        13.96        0.70
8        6.44        1.61
9        3.12        3.12
10        2.57        4.19
11        2.20        4.67
12        -0.73        -6.97
13        4.00        4.00
14        2.57        4.58
15        2.60        5.61
16        2.21        5.25
17        12.97        5.61
18        -4.95        5.61
19        2.20        14.06
20        0.00        14.91
