        CG/HBCS        CG/ScaleStar
1        0.13        -16.40
2        5.94        -5.20
3        6.58        6.58
4        17.51        0.21
5        17.43        -13.97
6        4.56        -35.33
7        -35.14        -39.75
8        -25.44        -29.73
9        21.03        0.16
10        0.18        -4.14
11        -56.24        -56.24
12        -71.73        -71.73
13        -67.28        -67.28
14        7.67        7.67
15        7.67        7.67
16        2.80        7.69
17        -70.91        -62.29
18        -68.36        -59.87
19        -68.36        -59.87
20        0.00        18.74
