        CG/HBCS        CG/ScaleStar
1        -4.92        -11.69
2        28.35        19.02
3        38.15        0.83
4        38.15        0.83
5        -90.25        -90.25
6        9.90        9.90
7        30.75        0.60
8        10.87        -27.85
9        6.05        -9.86
10        -13.37        -32.57
11        -31.77        -31.77
12        6.70        6.70
13        6.51        6.51
14        6.42        6.42
15        6.42        6.42
16        -24.17        -24.17
17        -33.59        -22.41
18        -34.32        -22.90
19        -34.61        -23.15
20        0.00        17.26
