        CG/HBCS        CG/ScaleStar
1        50.93        16.72
2        44.30        2.92
3        31.30        16.18
4        17.79        23.32
5        -0.84        28.04
6        0.26        31.64
7        2.23        34.94
8        2.98        36.48
9        4.43        37.83
10        5.30        38.98
11        6.37        39.95
12        6.60        40.80
13        6.40        41.54
14        6.61        42.17
15        6.56        42.71
16        6.58        43.18
17        6.45        43.59
18        6.94        43.98
19        7.11        44.29
20        0.00        44.48
