        CG/HBCS        CG/ScaleStar
1        55.12        18.42
2        49.25        4.62
3        38.88        16.26
4        20.78        23.84
5        -1.75        28.46
6        0.73        32.21
7        2.27        34.76
8        3.55        36.95
9        3.72        37.94
10        3.81        39.24
11        4.89        40.44
12        5.63        41.26
13        5.63        41.96
14        5.78        42.54
15        6.56        43.08
16        7.09        43.68
17        7.31        44.25
18        7.17        44.59
19        6.89        44.90
20        0.00        45.07
