        CG/HBCS        CG/ScaleStar
1        49.51        14.10
2        45.67        6.21
3        39.63        18.92
4        12.03        25.36
5        -0.84        30.03
6        0.57        33.50
7        3.52        36.62
8        4.09        38.24
9        4.36        39.39
10        5.13        40.61
11        5.71        41.71
12        5.46        42.50
13        5.85        43.19
14        6.42        43.71
15        6.36        44.20
16        6.31        44.64
17        6.62        45.11
18        6.96        45.47
19        7.29        45.78
20        0.00        45.99
