        CG/HBCS        CG/ScaleStar
1        48.89        18.18
2        48.45        5.68
3        36.80        17.37
4        10.51        25.17
5        -0.39        29.64
6        0.50        33.02
7        1.83        35.66
8        3.44        37.79
9        3.64        39.23
10        4.55        40.31
11        5.18        41.33
12        5.31        41.91
13        6.10        42.66
14        6.95        43.46
15        7.02        43.79
16        7.55        44.31
17        7.53        44.74
18        7.64        45.09
19        7.79        45.40
20        7.74        45.63
