        CG/HBCS        CG/ScaleStar
1        51.69        18.44
2        49.03        3.93
3        38.92        15.46
4        19.22        22.74
5        -0.36        28.12
6        0.51        31.15
7        3.05        34.23
8        3.54        36.36
9        3.55        37.76
10        4.00        38.85
11        4.93        39.70
12        5.73        40.69
13        6.55        41.58
14        7.36        42.34
15        7.11        42.54
16        7.49        43.02
17        7.79        43.43
18        7.82        43.75
19        7.48        44.06
20        0.00        44.32
