        CG/HBCS        CG/ScaleStar
1        43.80        8.79
2        43.19        5.25
3        42.83        11.17
4        29.82        20.23
5        -1.49        25.92
6        -0.43        29.20
7        1.62        32.34
8        2.54        34.68
9        3.99        36.66
10        3.18        37.76
11        4.06        38.72
12        5.27        39.68
13        6.64        40.81
14        7.47        41.54
15        7.91        42.16
16        7.08        42.48
17        8.21        43.30
18        8.27        43.64
19        7.85        43.92
20        0.00        44.10
