        CG/HBCS        CG/ScaleStar
1        45.17        4.99
2        40.19        1.73
3        39.61        10.00
4        33.37        18.59
5        -0.45        24.06
6        -0.29        27.97
7        2.29        31.31
8        1.81        32.87
9        2.97        35.23
10        4.18        36.64
11        5.07        37.63
12        5.36        38.52
13        6.40        39.56
14        6.82        40.19
15        6.97        41.17
16        7.43        41.84
17        7.14        42.26
18        7.51        42.64
19        7.56        42.94
20        0.00        43.05
