        CG/HBCS        CG/ScaleStar
1        42.79        5.88
2        47.46        0.96
3        36.44        12.96
4        29.49        22.14
5        -0.57        28.59
6        0.38        31.56
7        2.10        34.79
8        3.49        36.41
9        4.89        38.23
10        4.34        39.30
11        4.79        40.39
12        5.90        41.49
13        6.82        42.28
14        7.68        43.23
15        7.08        43.64
16        7.24        44.14
17        7.76        44.60
18        7.94        44.94
19        7.97        45.22
20        0.00        45.41
